Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Biomass,0.0286,0.0282,0.0288,0.0303,0.0321,0.0340,0.0324,0.0296,0.0282,0.0303,0.0292,0.0298,0.0277,0.0264
Coal,0.0180,0.0165,0.0155,0.0079,0.0051,0.0051,0.0027,0.0016,0.0015,0.0015,0.0012,0.0017,0.0032,0.0013
Geothermal,0.0623,0.0620,0.0631,0.0640,0.0625,0.0612,0.0611,0.0584,0.0569,0.0592,0.0546,0.0594,0.0573,0.0547
Large Hydro,0.1214,0.1428,0.1820,0.1165,0.1039,0.0690,0.0590,0.1231,0.1789,0.1134,0.1653,0.0940,0.0620,0.0719
Natural Gas,0.5634,0.5345,0.4539,0.6113,0.6050,0.6125,0.5988,0.4986,0.4341,0.4655,0.4297,0.4835,0.5019,0.4746
Nuclear,0.1521,0.1568,0.1824,0.0929,0.0894,0.0855,0.0944,0.0904,0.0869,0.0938,0.0806,0.0853,0.0849,0.0867
Small Hydro,0.0195,0.0243,0.0306,0.0214,0.0167,0.0137,0.0123,0.0230,0.0311,0.0218,0.0267,0.0182,0.0130,0.0148
Solar,0.0041,0.0044,0.0055,0.0092,0.0215,0.0531,0.0767,0.0998,0.1179,0.1399,0.1422,0.1543,0.1713,0.1992
Wind,0.0302,0.0301,0.0378,0.0478,0.0635,0.0656,0.0621,0.0681,0.0624,0.0723,0.0682,0.0718,0.0782,0.0686
Sum,0.9996,0.9996,0.9996,1.0013,0.9997,0.9997,0.9997,0.9927,0.9979,0.9976,0.9978,0.9978,0.9995,0.9982
